x y z u v depth
0.907627 0.036898 0.592583 65.873657 35.384590 -1.509905
0.894310 0.119174 0.769897 68.707209 40.510377 -1.606550
0.878780 -0.030902 0.429498 62.061243 31.096324 -1.428925
0.913390 0.052061 0.592550 65.942956 35.528327 -1.525005
0.899823 0.151723 0.801369 69.235063 41.430749 -1.641576
0.876916 -0.053851 0.358325 60.493258 28.990333 -1.400185
0.911938 0.041373 0.543607 64.975997 34.334346 -1.510317
0.901258 0.145582 0.754805 68.444318 40.426992 -1.631612
0.875095 -0.065031 0.306233 59.303447 27.541077 -1.384748
0.910238 0.069995 0.563675 65.270256 35.289729 -1.540500
0.901175 0.145608 0.715459 67.724974 39.663197 -1.628392
0.877717 -0.030811 0.341114 60.159581 29.103038 -1.421725
0.912243 0.101932 0.589693 65.728199 36.311400 -1.574472
0.902743 0.152319 0.692126 67.303116 39.269917 -1.633153
0.883792 -0.028915 0.316871 59.770756 28.460601 -1.421605
0.919305 0.111396 0.575900 65.575675 36.047489 -1.582755
0.909538 0.168435 0.688101 67.297347 39.284214 -1.648871
0.891384 -0.040147 0.268143 58.863749 26.902475 -1.406379
0.929137 0.112850 0.543537 65.144890 35.227131 -1.581518
0.918543 0.196394 0.702831 67.623679 39.769737 -1.677936
0.898755 -0.011465 0.286455 59.459025 27.853675 -1.436463
0.939740 0.126011 0.529102 65.042362 34.951251 -1.593427
0.927502 0.212231 0.693807 67.566334 39.643114 -1.692961
0.906858 -0.022752 0.239287 58.602271 26.329171 -1.421311
0.948373 0.112292 0.472105 64.151250 33.392261 -1.575039
0.934531 0.222626 0.675503 67.332745 39.309773 -1.701800
0.864317 0.038216 0.321279 59.550326 30.436482 -1.488900
0.919211 -0.021394 0.212836 58.296343 25.488056 -1.420463
0.961024 0.113709 0.443137 63.835650 32.580747 -1.574042
0.945167 0.246617 0.682704 67.560850 39.563328 -1.726287
0.875223 0.043630 0.300852 59.359044 29.882943 -1.492594
0.936193 0.001637 0.219733 58.844849 25.861950 -1.443958
0.980935 0.146098 0.460310 64.480732 33.132191 -1.607707
0.960966 0.287349 0.712120 68.184545 40.324531 -1.769283
0.883844 0.037680 0.264312 58.773677 28.779170 -1.483636
0.950958 0.014161 0.209690 58.960318 25.633842 -1.455588
0.999836 0.168475 0.458359 64.750822 33.131035 -1.629818
0.975261 0.309512 0.707030 68.256517 40.254291 -1.790928
0.884966 0.029909 0.230634 58.084501 27.837796 -1.473111
0.955756 0.008149 0.177623 58.372926 24.655842 -1.446944
1.008346 0.162914 0.420396 64.215744 32.119331 -1.621131
0.982491 0.316195 0.683644 67.964792 39.798524 -1.795648
0.885652 0.029090 0.206554 57.596031 27.269029 -1.470307
0.958679 0.003089 0.149308 57.821805 23.816580 -1.439560
1.013809 0.163655 0.391940 63.787173 31.461957 -1.619513
0.987293 0.312913 0.642179 67.367263 38.942109 -1.788949
0.894303 0.116873 0.308340 59.970208 31.143174 -1.566176
0.970411 0.047957 0.183391 58.870142 25.468365 -1.487069
1.026344 0.209986 0.428244 64.604037 32.771162 -1.668662
0.996859 0.332592 0.635586 67.353455 38.910787 -1.808002
0.907771 0.191484 0.388526 61.765523 33.845656 -1.647128
0.988313 0.100672 0.224576 60.121471 27.222634 -1.542975
1.045665 0.267081 0.473152 65.616619 34.217639 -1.729238
1.009662 0.372780 0.656457 67.770553 39.549390 -1.849755
0.916823 0.208516 0.391710 61.983506 34.024840 -1.664350
1.001194 0.144101 0.264467 61.164828 28.733153 -1.589528
1.060741 0.305872 0.493446 66.125387 34.925162 -1.769548
1.018677 0.379634 0.626854 67.417651 38.976232 -1.854130
0.926338 0.158182 0.290986 60.277431 30.967399 -1.605863
1.011370 0.099479 0.171642 59.521567 25.614250 -1.537384
1.071691 0.296153 0.446103 65.530779 33.723648 -1.755939
1.023706 0.375749 0.586340 66.857808 38.149053 -1.846908
0.939077 0.163158 0.271253 60.145088 30.424045 -1.609175
1.024684 0.111808 0.163587 59.635851 25.467810 -1.548986
1.082641 0.313489 0.442044 65.607783 33.733723 -1.772865
1.031123 0.389787 0.578318 66.808246 38.066628 -1.860225
0.950727 0.141845 0.218838 59.340001 28.708976 -1.583592
1.037256 0.123374 0.158672 59.794593 25.386587 -1.560088
1.092732 0.322365 0.428628 65.531222 33.457419 -1.780588
1.038507 0.401268 0.566957 66.712696 37.896980 -1.870718
0.955853 0.129840 0.183971 58.743784 27.634473 -1.568743
1.043924 0.155893 0.190596 60.563722 26.652624 -1.595119
1.098117 0.345412 0.443524 65.816744 33.990215 -1.804777
1.044322 0.429638 0.586493 67.033991 38.483282 -1.900594
0.958068 0.162243 0.200566 59.157453 28.613928 -1.602402
1.042085 0.172020 0.187860 60.487922 26.978867 -1.610969
1.092440 0.325966 0.391978 64.902159 32.854969 -1.781153
1.042267 0.412012 0.537038 66.267751 37.463028 -1.878951
0.957306 0.162446 0.166652 58.497618 27.940064 -1.599807
1.035878 0.142874 0.115378 58.954508 24.953508 -1.575951
1.085223 0.296746 0.321214 63.619161 31.192977 -1.746206
1.040230 0.407074 0.501845 65.685611 36.832135 -1.871129
0.950485 0.223616 0.231038 59.666668 30.555521 -1.666091
1.029850 0.216952 0.199275 60.505360 28.360670 -1.656708
1.084476 0.385429 0.420633 65.131719 34.408629 -1.842790
1.042123 0.456260 0.543295 66.254521 38.119806 -1.923564
0.936698 0.256043 0.265768 60.081715 32.051400 -1.701294
1.015562 0.255598 0.244327 61.083044 30.232392 -1.698961
1.072232 0.407048 0.437968 65.172959 35.218579 -1.865784
1.035370 0.466121 0.538927 66.058777 38.272080 -1.933042
0.991811 0.186574 0.157202 58.999486 27.603946 -1.623020
1.049120 0.353307 0.370273 63.775465 33.623056 -1.806677
1.025116 0.472765 0.539999 65.902099 38.528608 -1.939767
0.982518 0.208056 0.192802 59.523004 28.922374 -1.647380
1.039433 0.381122 0.410688 64.246230 34.911780 -1.837746
1.026023 0.533790 0.615220 66.904886 40.404248 -2.006789
0.924310 0.309869 0.314415 60.756833 34.057275 -1.758969
0.989291 0.316041 0.313139 61.836460 33.017102 -1.764915
1.045299 0.512376 0.565702 66.507489 39.091338 -1.981333
1.035336 0.626529 0.721469 68.305476 42.792282 -2.107963
0.934548 0.311617 0.267040 60.113423 33.039679 -1.756786
0.999700 0.355179 0.312051 61.984202 33.438776 -1.803814
1.054388 0.555193 0.572749 66.640925 39.538343 -2.024571
1.043935 0.659296 0.725563 68.379141 43.016281 -2.140943
0.943163 0.392641 0.335470 61.444058 35.343616 -1.843167
1.005405 0.386379 0.314400 62.108300 33.861315 -1.835093
1.060631 0.594459 0.583187 66.785592 40.023523 -2.064555
1.049208 0.708256 0.750194 68.632761 43.708437 -2.191760
0.946449 0.435161 0.368228 62.023658 36.434660 -1.888240
1.010202 0.411945 0.323942 62.332500 34.326760 -1.861351
1.068329 0.639674 0.611239 67.179017 40.792634 -2.111919
1.055610 0.754090 0.777315 68.933114 44.365064 -2.239666
0.949061 0.485857 0.408772 62.682584 37.714057 -1.942104
1.011364 0.433164 0.329492 62.431145 34.707976 -1.882954
